City,State,Number_of_Shootings,Population,Annual_Shootings_per_100k
Miramar,Florida,2,134721,0.16
Mobile,Alabama,8,187041,0.48
Modesto,California,13,218464,0.66
Montgomery,Alabama,6,200603,0.33
Moreno Valley,California,5,208634,0.27
Murfreesboro,Tennessee,1,152769,0.07
Murrieta,California,1,110949,0.1
Nampa,Idaho,5,100200,0.55
Naperville,Illinois,1,149540,0.07
New Orleans,Louisiana,10,383997,0.29
New York,New York,48,8804190,0.06
Newark,New Jersey,9,311549,0.32
Newport News,Virginia,4,186247,0.24
Norfolk,Virginia,8,238005,0.37
Norman,Oklahoma,2,128026,0.17
North Charleston,South Carolina,5,114852,0.48
North Las Vegas,Nevada,8,262527,0.34
Norwalk,California,2,102773,0.22
Oakland,California,13,440646,0.33
Oceanside,California,2,174068,0.13
Odessa,Texas,11,114428,1.07
Olathe,Kansas,4,141290,0.31
Omaha,Nebraska,18,486051,0.41
Ontario,California,9,175265,0.57
Orange,California,3,139911,0.24
Orlando,Florida,30,307573,1.08
Overland Park,Kansas,3,197238,0.17
Oxnard,California,4,202063,0.22
Palm Bay,Florida,6,119760,0.56
Palmdale,California,7,169450,0.46
Pasadena,California,6,138699,0.48
Pasadena,Texas,3,151950,0.22
Paterson,New Jersey,8,159732,0.56
Pearland,Texas,4,125828,0.35
Peoria,Arizona,4,190985,0.23
Peoria,Illinois,4,113150,0.39
Philadelphia,Pennsylvania,38,1603797,0.26
Phoenix,Arizona,115,1608139,0.79
Pittsburgh,Pennsylvania,8,302971,0.29
Plano,Texas,4,285494,0.16
Pomona,California,5,151713,0.37
Pompano Beach,Florida,5,112046,0.5
Port St. Lucie,Florida,3,204851,0.16
Portland,Oregon,28,652503,0.48
Providence,Rhode Island,2,190934,0.12
Provo,Utah,3,115162,0.29
Pueblo,Colorado,25,111876,2.48
Quincy,Massachusetts,1,101636,0.11
Raleigh,North Carolina,9,467665,0.21
Rancho Cucamonga,California,4,174453,0.25
Reno,Nevada,14,264165,0.59
Renton,Washington,5,106785,0.52
Rialto,California,7,104026,0.75
Richmond,California,3,116448,0.29
Richmond,Virginia,10,226610,0.49
Rio Rancho,New Mexico,2,104046,0.21
Riverside,California,9,314998,0.32
Riverview,Florida,5,107396,0.52
Roanoke,Virginia,6,100011,0.67
Rochester,Minnesota,1,121395,0.09
Rochester,New York,8,211328,0.42
Rockford,Illinois,7,148655,0.52
Roseville,California,1,147773,0.08
Round Rock,Texas,5,119468,0.47
Sacramento,California,25,524943,0.53
Salem,Oregon,14,175535,0.89
Salinas,California,5,163542,0.34
San Antonio,Texas,84,1434625,0.65
San Bernardino,California,28,222101,1.4
San Diego,California,35,1386932,0.28
San Francisco,California,24,873965,0.31
San Jose,California,25,1013240,0.27
San Mateo,California,1,105661,0.11
Sandy Springs,Georgia,1,108080,0.1
Santa Ana,California,13,310227,0.47
Santa Clara,California,3,127647,0.26
Santa Clarita,California,5,228673,0.24
Santa Maria,California,5,109707,0.51
Santa Rosa,California,1,178127,0.06
Savannah,Georgia,12,147780,0.9
Scottsdale,Arizona,9,241361,0.41
Seattle,Washington,18,737015,0.27
Shreveport,Louisiana,15,187593,0.89
Simi Valley,California,1,126356,0.09
Sioux Falls,South Dakota,6,192517,0.35
South Bend,Indiana,6,103453,0.64
Sparks,Nevada,10,108445,1.02
Spokane,Washington,23,228989,1.12
Spokane Valley,Washington,4,102976,0.43
Spring Hill,Florida,5,113568,0.49
Springfield,Illinois,2,114394,0.19
Springfield,Massachusetts,2,155929,0.14
Springfield,Missouri,17,169176,1.12
St. Louis,Missouri,38,301578,1.4
St. Paul,Minnesota,12,311527,0.43
St. Petersburg,Florida,10,258308,0.43
Stamford,Connecticut,1,135470,0.08
Stockton,California,20,320804,0.69
Sugar Land,Texas,2,111026,0.2
Sunnyvale,California,4,155805,0.29
Surprise,Arizona,3,143148,0.23
Syracuse,New York,8,148620,0.6
Tacoma,Washington,17,219346,0.86
Tallahassee,Florida,9,196169,0.51
Tampa,Florida,16,384959,0.46
Temecula,California,3,110003,0.3
Tempe,Arizona,14,180587,0.86
Thornton,Colorado,5,141867,0.39
Thousand Oaks,California,1,126966,0.09
Toledo,Ohio,11,270871,0.45
Topeka,Kansas,10,126587,0.88
Torrance,California,5,147067,0.38
